41		33
59		7
34		10
23		10
30		52
39		54
46		11
47		42
69		67
69		66
3		78
58		23
91		85
94		35
10		70
51		26
76		74
27		63
74		94
30		89
23		54
70		13
48		42
90		74
35		23
87		64
51		80
23		48
64		50
81		67
41		23
60		39
40		20
31		43
66		59
62		38
56		65
20		53
46		20
57		18
4		54
11		80
45		86
42		25
52		35
2		12
7		10
52		16
28		72
87		54
83		67
39		90
54		26
71		23
51		51
43		68
76		35
69		39
49		55
25		62
24		52
80		44
31		82
33		19
55		77
20		87
30		31
79		11
71		82
31		50
62		33
50		57
78		22
46		62
33		23
27		50
10		39
22		2
25		83
72		71
54		20
51		61
39		83
72		22
19		79
38		78
74		44
62		47
42		17
47		53
77		14
43		22
28		39
35		65
6		16
51		61
79		71
58		20
77		80
39		67
36		64
80		64
52		92
98		23
22		69
69		61
38		87
25		10
10		49
73		51
49		23
36		74
72		56
72		8
77		81
25		64
23		51
33		61
84		33
13		80
80		45
57		43
13		4
2		11
80		54
6		63
57		38
32		40
56		49
93		23
66		13
8		57
88		40
33		74
79		72
72		62
93		77
41		54
62		55
36		21
69		13
46		67
67		50
21		66
39		7
16		60
92		32
26		48
61		48
90		46
67		36
72		46
50		35
46		50
74		53
64		64
19		16
67		10
83		61
50		50
50		23
96		80
62		10
28		10
54		38
45		82
51		29
72		34
89		95
78		46
37		48
100		77
71		92
10		61
61		96
35		31
74		49
20		20
46		34
58		83
38		28
40		47
79		50
70		70
67		49
85		63
34		72
22		93
77		63
59		54
78		59
61		32
63		28
80		86
78		52
77		7
40		56
34		25
56		43
59		73
49		61
10		95
84		13
10		20
54		81
42		36
20		49
11		1
51		53
50		51
70		80
50		49
73		32
87		55
43		33
50		48
45		67
57		21
8		20
26		7
61		53
71		60
58		69
30		17
15		29
87		93
33		68
14		34
77		63
33		54
30		83
80		9
68		90
13		10
65		42
14		56
58		87
72		13
68		43
33		38
27		78
31		76
4		53
56		32
36		61
23		7
36		55
62		64
49		16
82		5
90		60
34		78
39		69
96		1
17		36
39		25
63		4
59		65
4		90
74		47
58		49
28		73
51		83
68		60
10		46
49		80
93		23
39		80
77		74
50		77
58		70
4		39
17		6
49		46
32		57
28		41
31		68
61		21
37		39
56		56
59		77
74		5
17		80
20		67
81		11
6		20
81		33
9		77
35		20
77		96
73		57
22		9
75		64
14		64
83		67
23		36
58		67
35		28
63		74
27		53
70		64
49		29
32		53
78		9
23		49
56		46
71		69
74		77
80		73
23		45
23		41
89		26
50		61
7		70
80		36
26		90
66		37
51		58
18		79
33		47
100		26
24		23
46		67
76		27
33		6
51		32
17		43
90		93
93		24
21		40
46		39
39		42
39		30
13		49
63		34
52		67
29		35
36		91
71		62
70		58
30		61
24		36
30		26
76		63
19		60
92		39
51		70
49		39
17		54
53		71
63		69
8		79
16		24
39		34
36		58
30		56
8		7
8		42
37		42
9		16
82		89
30		96
49		32
50		24
50		18
49		20
64		20
32		13
30		15
83		13
1		89
4		64
67		6
86		52
32		85
20		78
25		28
80		88
50		19
47		16
85		82
24		60
59		64
53		44
66		47
62		12
51		64
87		4
55		30
30		32
51		54
100		61
83		64
40		7
23		90
63		17
93		49
50		22
16		50
43		77
58		66
48		23
50		83
96		74
49		74
72		54
27		22
44		31
51		39
73		32
56		46
56		74
55		33
56		27
35		50
32		64
23		30
93		67
88		50
46		54
53		49
55		42
49		41
96		9
13		64
51		7
39		65
80		52
64		70
40		77
56		37
78		36
71		40
77		69
12		31
70		79
88		70
42		18
10		83
90		80
59		45
62		44
89		42
32		47
76		19
66		63
58		39
7		23
62		33
10		7
54		51
10		76
52		71
22		44
50		57
31		11
29		51
64		41
30		42
86		30
48		85
57		79
57		35
64		72
32		30
12		80
40		15
32		53
23		12
44		57
28		84
65		19
81		96
32		39
73		77
65		43
95		70
41		78
29		28
60		53
17		39
33		50
35		7
80		26
25		71
45		46
61		81
10		93
73		58
26		42
3		67
86		37
45		70
51		46
17		82
61		58
46		84
49		26
70		24
5		51
5		20
96		64
67		42
4		51
47		41
62		40
54		72
75		85
61		79
33		26
23		93
58		10
38		70
74		33
39		61
42		80
59		41
74		75
96		38
15		57
61		36
49		69
50		51
40		50
53		42
17		74
39		78
20		56
96		13
37		2
5		10
8		4
32		69
4		46
60		78
64		54
33		33
51		34
60		40
6		14
17		46
50		47
24		53
71		37
14		82
49		4
40		34
42		90
62		34
88		4
17		65
33		68
42		59
53		83
47		80
26		4
29		62
54		38
85		43
4		30
78		23
65		93
70		65
7		42
62		66
8		13
31		69
73		79
5		51
36		65
78		25
10		77
48		80
21		16
27		47
74		56
30		7
17		64
9		84
78		43
20		43
49		51
71		92
31		50
87		42
49		70
43		45
78		79
74		83
93		58
100		64
10		89
72		2
30		60
39		44
22		90
87		39
64		29
50		63
25		7
23		61
13		74
38		50
50		6
54		73
48		28
17		83
33		20
93		56
54		60
92		20
49		45
92		49
39		77
74		79
17		10
20		87
80		33
51		61
46		33
20		51
74		93
42		27
96		90
39		30
48		45
38		61
83		36
49		35
63		47
49		54
67		83
96		67
26		52
87		49
51		19
29		48
98		77
58		33
31		42
39		36
52		34
69		71
42		51
33		25
32		89
17		49
37		85
12		49
70		46
96		40
26		17
52		34
46		36
23		72
45		39
54		74
37		58
44		90
74		70
42		42
38		50
56		47
30		35
51		49
26		45
25		65
61		80
31		38
14		18
34		13
53		8
67		87
18		72
52		25
90		17
13		46
4		7
55		25
15		53
80		7
30		76
96		82
39		59
49		21
86		46
37		60
67		36
28		18
61		23
42		13
94		20
31		50
68		41
60		30
7		75
41		45
39		61
28		60
21		28
66		55
17		13
21		58
30		58
65		62
82		7
20		46
58		80
54		49
87		11
70		33
60		45
38		51
91		40
14		17
78		12
74		79
63		72
77		40
27		58
74		39
73		18
51		23
20		86
81		42
63		72
39		96
17		20
55		38
50		18
70		80
30		42
10		56
41		80
26		67
99		20
56		43
85		16
90		23
13		74
65		56
43		55
24		31
42		58
90		96
25		44
67		80
16		96
93		30
30		59
7		93
80		23
89		15
80		36
42		13
73		30
49		83
71		43
26		36
61		49
30		23
27		52
74		35
51		63
16		52
19		50
17		79
30		37
23		50
89		95
80		65
60		14
79		72
46		53
88		25
54		81
13		64
5		66
68		43
9		55
49		36
19		88
37		61
4		69
67		96
83		76
37		40
51		33
71		18
4		23
46		47
58		4
54		71
32		85
49		28
46		40
93		55
28		34
37		63
89		73
23		13
71		70
34		69
56		62
46		54
55		39
30		90
83		47
87		80
61		64
95		51
14		47
75		63
39		69
69		20
59		73
26		80
61		54
33		70
90		8
